LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Agnello, Via – cv 20;Vari;;1;5;2;10;20/09/2016
Agnello, Via – cv 20;Vari;;1;5;1;5;20/09/2016
Alemagna, Viale – Presso Triennale di Milano;Museo;Triennale di Milano;1;5;8;40;27/06/2015
Andreani, Via – cv. 10;Uffici e servizi pubblici;Avvocatura comunale;1;5;4;20;18/06/2015
Ansperto, Via - cv 4                        -  Richiesta assessore;Vari;;1;5;2;10;10/11/2016
Ansperto, Via - cv 5                       - Richiesta assessore;Vari;;1;5;4;20;10/11/2016
Ansperto, Via (angolo Via Luini) - Richiesta assessore;Vari;;1;5;1;5;10/11/2016
Bagutta, Via;Stazione metropolitana;M1 San Babila;1;5;1;5;04/10/2012
Beltrami Luca, Via – A fianco dell'ingresso M1 (lato Decathlon);Vari;;1;5;1;5;30/09/2015
Beltrami Luca, Via – Lato civici dispari (guardando il Castello, a sinistra, lungo il filare alberato);Vari;;1;5;2;10;30/09/2015
Beltrami Luca, Via – Lato civici pari (guardando il Castello, a destra, lungo il filare alberato);Vari;;1;5;3;15;30/09/2015
Bonaparte, Foro – cv 48;Vari;;1;5;1;5;25/06/2015
Bonaparte, Foro – cv 50;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 51;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;5;25;04/05/2012
Bonaparte, Foro – cv 52;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 56;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 66;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – cv 70;Vari;;1;5;1;5;10/06/2015
Bonaparte, Foro – Fronte cv 48, lato opposto, presso fermata TPL;Vari;;1;5;1;5;2013
Cadorna, Piazzale – All'angolo con Via Carducci;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;2;10;19/04/2012
Cadorna, Piazzale – Cadorna Trenord ingresso principale - MM 1-2  ;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;4;20;19/04/2012
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a dx) imbocco Via Dante, lato Via Camperio;Vari;;1;5;1;5;01/10/2015
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a dx) imbocco Via Dante, lato Via Dante;Vari;;1;5;2;10;01/10/2015
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a sx) imbocco Via Dante, lato Via Dante;Vari;;1;5;2;10;01/10/2015
Cairoli, Largo – Fianco ingresso M1  (guardando Via Dante, a sx) imbocco Via Dante, lato Via Pozzone;Vari;;1;5;1;5;01/10/2015
Cairoli, Largo – Su marciapiede a fianco barriera parapedonale (fronte banca) c/o imbocco Via Camperio;Vari;;1;5;2;10;01/10/2015
Cairoli, Largo – Su marciapiede a fianco della pista ciclabile sotto alberi, fronte lato opposto Decathlon;Vari;;1;5;4;20;30/09/2015
Cairoli, Largo – Su marciapiede a fianco della pista ciclabile, fronte ingresso negozio Decathlon;Vari;;1;5;3;15;30/09/2015
Callas, Largo – Su marciapiede lato destro del teatro, due aree;Teatro;Dal Verme;1;5;2;10;12/11/2016
Cantù, Via – ang. Galleria Centrale ***** ASSESSORE;Vari;;1;5;3;15;16/06/2015
Carducci, Via – Presso ingresso MM Sant'Ambrogio;Stazione metropolitana;M2 Sant'Ambrogio;1;5;1;5;17/09/2015
Castello, Piazza – cv 20 – Su musone;Vari;;1;5;2;10;26/06/2015
Castello, Piazza – cv 22 – Su marciapiede;Vari;;1;5;1;5;26/06/2015
Cavour, Piazza – Area spartitraffico centrale;Vari;;1;5;7;35;19/09/2015
Conca del Naviglio, Via – cv 8;Piscina;Acquasalis;1;5;2;10;16/04/2016
Cordusio, Piazza – Piazza Cordusio angolo Via Cordusio cv 1;Stazione metropolitana;M1 Cordusio e Poste Italiane;1;5;2;10;11/05/2012
Croce Rossa, Via – Presso la stazione;Stazione metropolitana;M3 Monte Napoleone;1;5;2;10;18/09/2015
Crocetta, Largo – Presso cv 2;Stazione metropolitana;M3 Crocetta;1;5;2;10;17/06/2015
Dante, Via – Lato nord-ovest – Via Dante angolo Via Broletto – co;Stazione metropolitana;M1 Cordusio;1;5;3;15;11/05/2012
De Meis, Piazza;Vari;;1;5;4;20;06/10/2016
Dogana, Via;Uffici e servizi pubblici;InformaGiovani;1;5;1;5;18/05/2015
Duomo, Piazza - cv 12 - 2 manufatti collocati sul retro con accesso anche da Pecorari, l'altro nel cortile centrale;Comune di Milano;Palazzo Reale;1;5;3;15;11/08/2016
Duomo, Piazza - cv 14;Comune di Milano;Palazzo Reale;1;5;2;10;17/09/2015
Duomo, Piazza - cv 19;Comune di Milano;Uffici Comunali;1;5;2;10;23/02/2016
Garibaldi, Corso – cv 132 – Presso ingressi stazione MM;Stazione metropolitana;M1 Moscova;1;5;2;10;28/05/2015
Garibaldi, Corso – cv 27 – Presso ingressi centro Civico;vari;;1;5;1;5;06/05/2015
Greppi, Largo – Fronte ingresso del teatro, lato pista ciclabile presso chiosco;Teatro;Strehler;1;5;3;15;24/06/2015
Greppi, Largo – Presso scala della stazione metropolitana, fronte scale teatro;Teatro;Strehler;1;5;2;10;24/06/2015
Guastalla, Via della – cv 2/A – Presso il cortile della Sormani, solo dipendenti;Uffici e servizi pubblici - Bilioteca;Biblioteca Centrale - Sormani;1;5;1;5;18/06/2015
La Foppa, Largo – Presso le scale di accesso alla stazione  MM;Stazione metropolitana;M2 Moscova;1;5;3;15;23/05/2015
Lampugnano – Parcheggio ATM;Parcheggio ATM presso Metro;;1;5;2;10;05/06/2012
Leopardi, Via – Angolo Via Boccaccio;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;4;20;04/03/2013
Manara, Via – Angolo Corso di Porta Vittoria;Palazzo di Giustizia;;1;5;1;5;19/01/2013
Manin, Via – Cv 29/27 – Presso ingresso principale del catasto;Uffici e servizi pubblici - Catasto;;1;5;4;20;28/09/2012
Marino, Via – Presso fianco est di Palazzo Marino;Uffici e servizi pubblici - Comune di Milano;Comune di Milano - Palazzo Marino;1;;;0;24/08/2012
Matteotti, Corso – Dietro rampa bix Meda e cv 1;Vari;;1;5;4;20;18/10/2012
Mattioli, Largo;Vari;;1;5;1;5;11/10/2012
Meda, Piazza – Angolo Catena;Vari;;1;5;3;15;08/11/2012
Meda, Piazza – Angolo Verri / Matteotti;Vari;;1;5;2;10;11/06/2015
Meda, Piazza – cv 4;Vari;;1;5;1;5;19/09/2015
Mercato, Via – cv 5 – Su musone, angolo Via Tivoli;Vari;;1;5;1;5;24/06/2015
Metastasio, Via;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;6;30;28/12/2012
Mieli Renato, Sito – Presso Corso di Porta Romana 106;Vari;;1;5;2;10;18/09/2015
Milazzo, Via - Presso ingresso cinema Anteo;Cinema;Anteo;1;5;5;25;15/06/2015
Minghetti, Via – Angolo con Piazza Castello  (* 1 manufatto sostituito);Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;2;10;19/04/2012
Oberdan, Piazza – Presso ingressi stazione, lato civici pari;Stazione metropolitana;M1 Porta Venezia;1;5;2;10;01/02/2011
Paleocapa, Via – cv 6;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;4;20;08/05/2012
Palermo, Via – cv 17 - Presso scuola dell'infanzia e nido d'infanzia;Nido e scuola dell'infanzia;Palermo 17;1;5;3;15;22/05/2012
Palermo, Via – cv 7-9 - Presso scuola primaria;Scuola Primaria;IC Giusti - D'Assisi - Scuola Primaria Ciceri-Visconti;1;5;3;15;22/05/2012
Palestro, Via –  ingresso MM;Stazione metropolitana;M1 Palestro;1;5;1;5;11/06/2015
Passarella, Via (tra Corso Vittorio Emanuele II e Via Beccaria);Vari;;1;5;2;5;09/11/2016
Pio XI, Piazza ;Vari;;1;3;3;9;01/02/2014
"Porta Nuova, Bastioni di – cv 4 – Scuola Primaria ""Bastioni di Porta Nuova - Alberto da Giussano""";Scuola Primaria;ICS Milano Spiga;1;5;5;25;2013
Porta Romana, Corso di – cv 80;Stazione metropolitana;M3 Crocetta;1;5;1;5;17/06/2015
Porta Vittoria, Corso di – Presso entrata Coin ***** ASSESSORE;Grande magazzino;;1;5;1;5;06/05/2015
Posta, Via della;Vari;;1;5;1;5;26/11/2012
Rivoli, Via – Su marciapiede lato aiuola;Teatro;Strehler;1;5;4;20;25/06/2015
Rivoli, Via – Su marciapiede lato case / ingresso M2 Lanza;Teatro;Strehler;1;5;2;10;25/06/2015
Ruffini , Via – cv 4;Scuola Primaria;Ruffini;1;5;2;10;14/05/2015
San Babila, Piazza – Presso ingressi della stazione;Stazione metropolitana;M1 San Babila;1;5;9;45;04/10/2012
San Barnaba, Via – Ang. Via della Commenda;Vari;;1;5;4;20;03/06/2016
San Barnaba, Via – Ang. Via Manara (Richiesto da Assessore Maran);Palazzo di Giustizia;;1;5;1;5;19/01/2013
San Barnaba, Via – cv 11 – Su marciapiede;Ospedale;;1;5;2;10;03/06/2016
San Barnaba, Via – Sul fianco della chiesa, dietro il tribunale;Vari;;1;5;3;15;21/06/2012
San Calimero, Via;Vari;;1;5;4;20;13/06/2015
San Nicolao, Via – All'angolo con Foro Buonaparte;Stazione ferroviaria e metropolitana;FNM Cadorna - M1-2;1;5;5;25;08/05/2012
San Paolo, Via – cv 10 – Presso angolo con Piazza del Liberty;Vari;;1;5;3;15;2013
San Paolo, Via – cv 18 – Presso angolo con Piazza Meda, fianco attravers. pedonale;Vari;;1;5;1;5;2013
San Paolo, Via – cv 18 – Presso angolo con Piazza Meda, fianco struttura ascensori;Vari;;1;5;3;15;15/05/2012
San Paolo, Via – Tra Piazza del Liberty e Corso Vittorio Emanuele II;Vari;;1;5;2;10;11/07/2012
San Pietro in Gessate, Piazza – Fronte Tribunale;Palazzo di Giustizia;;1;5;2;10;19/01/2013
San Sepolcro, Piazza - Angolo Via Valpetrosa;Vari;;1;5;1;5;06/10/2016
San Vincenzo, Via - Fronte civico 30;Scuola dell'infanzia;Ariberto 12;1;5;3;15;24/08/2016
San Vincenzo, Via - Presso angolo con Via Ariberto;Scuola dell'infanzia;Ariberto 12;1;5;2;10;17/06/2015
San Vittore, Via – Presso ingresso del Museo della Scienza e della Tecnica;Museo;Museo della Scienza e della Tecnica;1;5;3;15;15/06/2015
"Santo Spirito, Via – cv 21 – Scuola Secondaria di primo Grado ""Santo Spirito - Giuseppe Parini""";Scuola Secondaria di Primo Grado;ICS Milano Spiga;1;5;1;5;2013
Sempione, Corso – cv 55;Uffici;VOLKSWAGEN FINANCIAL SERVICES;1;5;2;10;15/05/2015
"Solferino, Via – cv 50/52 – Scuola Secondaria di Primo Grado ""Solferino - Rossari Castiglioni""";Scuola Secondaria di Primo Grado;ICS Milano Spiga;1;5;2;10;2013
Statuto, Via – Angolo Largo La Foppa e Via Moscova;Stazione metropolitana;M2 Moscova;1;5;1;5;11/06/2015
Statuto, Via – civ. 18 - Angolo Largo La Foppa;Stazione metropolitana;M2 Moscova;1;5;1;5;06/10/2016
Turati, Via – Presso  ingressi stazione MM;Stazione metropolitana;M3 Turati;1;5;1;5;19/09/2015
Venezia, Corso – cv 24 / 26;Vari;;1;5;4;20;23/09/2015
Venezia, Corso – cv 52 / 54;Vari;;1;5;4;20;23/09/2015
Venezia, Corso – cv 55;Museo civico di storia naturale;;1;5;2;10;11/08/2016
Venezia, Corso – Fronte cv 57;Vari;;1;5;6;30;23/09/2015
Venezia, Corso – Palestro ingresso MM;Stazione metropolitana;M1 Palestro;1;5;2;10;12/06/2015
Venticinque Aprile, Piazza;Pubblico esercizio;Eataly;1;5;3;15;14/05/2015
Virgilio, Piazza - Angolo tra  Via Caradosso e Via Monti;;;1;5;1;5;12/11/2016
Virgilio, Piazza - Angolo tra Via Boccaccio e Via Monti (rimuovere rastrelliera esistente);Esercizio commerciale;Supermercato SimplyCity;1;5;2;10;12/11/2016
Virgilio, Piazza - cv. 3 - Angolo tra Via Caradosso e Via Boccaccio;;;1;5;2;10;12/11/2016
Zenale, Via  – cv 6;Centro Sportivo;San Carlo;1;5;2;10;06/02/2015
"Bottego, Via – cv 4 – Scuola Primaria ""G. B. Perasso""";Scuola Primaria;DD G.B. Perasso;2;5;1;5;2013
Duca d'Aosta – Esedra, lato est (presso Via Vittor Pisani);Stazione ferroviaria e metropolitana;FS Centrale;2;5;5;25;15/05/2012
Duca d'Aosta – Esedra, lato ovest (presso Via Vittor Pisani);Stazione ferroviaria e metropolitana;FS Centrale;2;5;2;10;15/05/2012
Duca d'Aosta – Fronte Centrale FS, su piastra pedonale, lato est;Stazione ferroviaria e metropolitana;FS Centrale;2;2;16;32;2013
Duca d'Aosta – Fronte Centrale FS, su piastra pedonale, lato ovest;Stazione ferroviaria e metropolitana;FS Centrale;2;2;16;32;2013
Edolo, Via  – cv  19;Uffici e servizi pubblici;Uffici Comunali;2;5;2;10;21/07/2015
Filzi, Via – Presso sede del Consiglio Regionale;Uffici;;2;5;3;15;11/05/2015
Galvani, Via - cv 7 – Presso ingresso laterale da Via Filzi;Scuola Primaria;IC Galvani - Galvani;2;5;2;10;08/05/2015
Galvani, Via - Fronte distributore benzina;Palazzo Regione;;2;5;2;10;2013
Giacosa, Via – cv 44/46, presso Parco Trotter, Padiglione Tarra;Tempo per le famiglie;;2;5;2;10;06/05/2016
Gioia, Via – ang. via Muzio;Vari;;2;5;2;10;21/07/2015
Gioia, Via – Presso piazzetta accanto alla chiesa a Cascina dei Pomm;Chiesa;;2;5;4;20;15/11/2012
Gioia, Via – tra civ. 67 e civ. 69 - Su parterre di separazione tra controviale e carreggiata centrale;Vari;;2;5;1;5;21/07/2015
Governo Provvisorio, Piazza del – cv vari;CAM - Centro di Aggregazione Multifunzionale;;2;5;4;20;24/02/2016
Istria, Piazzale – cv 11 ;Scuola Secondaria di Primo Grado;Scuola Secondaria Tommaseo,;2;5;3;15;03/04/2015
Liscate, Via – cv 6 e 7;Vari;;2;6;2;12;28/06/2016
Loreto, Piazzale – Presso stazione;Stazione metropolitana;M1 Loreto;2;5;6;30;11/10/2012
Luigi di Savoia, Piazza – cv 2;Vari;;2;6;1;6;01/02/2011
Luigi di Savoia, Piazza – Presso ingresso stazione – Parterre grande di fronte all'ingresso pedonale laterale;Stazione ferroviaria e metropolitana;FS Centrale;2;11;5;55;01/02/2011
Luigi di Savoia, Piazza – Presso ingresso stazione – Parterre grande di fronte all'ingresso pedonale laterale;Stazione ferroviaria e metropolitana;FS Centrale;2;5;11;55;01/02/2011
Miramare , Via – cv 2;Casa delle Associazioni ;;2;5;2;10;07/05/2015
Monza, Viale –  civ. 191;Pubblico esercizio;Neg. Naturhouse vle Monza 191;2;5;2;10;07/05/2015
Monza, Viale – Presso ingressi stazione ;Stazione metropolitana;M1 Pasteur;2;5;3;15;11/05/2015
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Loreto;2;5;3;15;29/01/2013
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Rovereto;2;5;3;15;31/01/2013
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Turro;2;5;3;15;07/02/2013
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Gorla;2;5;8;40;04/02/2013
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Precotto;2;5;4;20;11/05/2015
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Precotto;2;5;2;10;07/02/2013
Monza, Viale – Presso stazione;Stazione metropolitana;M1 Villa San Giovanni;2;5;2;10;24/02/2013
Monza, Viale – Presso stazione ;Stazione metropolitana;M1 Pasteur;2;5;2;10;29/01/2013
Muzio Emanuele, Via – cv 5 ***** ASSESSORE;Scuola Primaria;;2;5;2;10;07/05/2015
Olgettina, Via – cv 65 – Presso ingresso dell'ospedale San Raffaele;Ospedale;San Raffaele;2;6;1;6;2013
Olgettina, Via – Fronte cv 65 – Presso fermata ATM fronte ingresso ospedale;Ospedale;San Raffaele;2;6;2;12;2013
Orione, Viale don Luigi – cv 19;Uffici e servizi pubblici - Biblioteca;Biblioteca Crescenzago;2;5;1;5;06/05/2016
Padova, Via – cv 118;Uffici e servizi pubblici - Anagrafe;;2;5;2;10;20/07/2015
Padova, Via – cv 175 (fronte opposto) – Angolo Via Don Orione;Uffici e servizi pubblici - ASL;;2;5;3;15;20/02/2016
Palmanova, Via – snc – Presso stazione M2 Cimiano;Stazione metropolitana;M2 Cimiano;2;5;1;5;20/02/2016
Pirelli, Via – cv 16;Vari;;2;6;2;12;28/06/2016
Porta Nuova, Corso – cv 52;Vari;;2;5;1;5;07/05/2015
Razza, Via – cv 4 – Presso angolo con Viale Tunisia;Vari;;2;6;2;12;08/05/2015
Repubblica, Piazza della – cv 27 – Presso angolo con Via Ferdinando di Savoia;Vari;;2;6;2;12;08/05/2015
Repubblica, Piazza della – cv 32 – Presso angolo con Viale Tunisia;Vari;;2;6;1;6;08/05/2015
Russo, Via – cv 27;Scuola Primaria;Scuola Russo;2;5;3;15;08/04/2015
San Mamete, Via – cv 11;Scuola Primaria;DD G.B. Perasso;2;5;3;15;09/04/2015
San Mamete, Via – cv 11 – Presso Scuola Primaria ;Scuola Primaria;DD G.B. Perasso;2;5;2;10;2013
Tenca, Via – cv 1 – Presso angolo con Viale Tunisia;Vari;;2;6;1;6;08/05/2015
Torcello, Via – Presso il sottopassaggio pedonale della stazione;Stazione ferroviaria;FS Greco Pirelli;2;5;2;10;20/07/2012
Transiti dei, Via – Presso l'incrocio con viale Monza;Stazione metropolitana;M1 Pasteur;2;5;5;25;28/11/2012
Tunisia, Viale – cv 30 – Presso angolo con Via Lazzaretto;Vari;;2;5;2;10;08/05/2015
Tunisia, Viale – cv 35 – Presso ingresso della piscina Cozzi;Piscina;Piscina Comunale - Milano Sport - Cozzi;2;5;5;25;09/11/2012
Tunisia, Viale – cv 37 – Presso angolo con Via Manuzio;Vari;;2;6;1;6;08/05/2015
Tunisia, Viale – cv 40 – Fronte Via Manuzio;Vari;;2;6;1;6;08/05/2015
Tunisia, Viale – cv 41 – Presso angolo con Via Franchetti;Vari;;2;6;1;6;08/05/2015
Vittor Pisani, Via – cv 13;Società;KPMG;2;5;1;5;11/05/2015
Vittor Pisani, Via – cv 1-3 – A fianco del muro delle scale di ingresso della metropolitana;Vari;;2;5;2;10;23/02/2016
Vittor Pisani, Via – cv 27-31;Società;KPMG;2;5;4;20;11/05/2015
Vittor Pisani, Via – Presso ingresso stazione – Lato Via Ferd. di Savoia;Stazione ferroviaria;FS Repubblica;2;8;2;16;01/02/2011
Vittor Pisani, Via – Presso ingresso stazione – Lato Viale Tunisia;Stazione ferroviaria;FS Repubblica;2;8;2;16;01/02/2011
Zara, Viale;Stazione metropolitana;M3 Zara – M5 Zara;2;5;6;30;20/07/2015
Zara, Viale – cv 96;Scuola Primaria;Scuola Primaria Arbe - Zara;2;5;3;15;21/07/2015
Abruzzi, Viale – Angolo Via Maiocchi - ang. Via Plinio                               ;Vari;;3;5;7;35;08/08/2016
Abruzzi, Viale – civ. 29;Vari;;3;5;1;5;08/08/2016
Argentina, Piazza – Presso ingressi della stazione – Aree su lato civici pari di B. Aires;Vari;;3;5;3;15;03/06/2015
Ascoli, Piazza;Vari;;3;5;4;20;12/05/2016
Bottini, Piazza – Fronte stazione FS;Stazione ferroviaria e metropolitana;FS Lambrate;3;5;9;45;02/08/2012
Bottini, Piazza – Tra Via Pacini e Via Valvassori Peroni;Stazione ferroviaria e metropolitana;FS Lambrate;3;5;3;15;02/08/2012
Bottini, Piazza – Tra Via Salieri e Via Pacini;Stazione ferroviaria e metropolitana;FS Lambrate;3;5;3;15;02/08/2012
Bottini, Piazza – Tra Via Valvassori Peroni e Via Viotti;Stazione ferroviaria e metropolitana;FS Lambrate;3;5;2;10;02/08/2012
Buenos Aires, Corso – cv 10;Stazione metropolitana;M1 Porta Venezia;3;5;2;10;05/06/2012
Buenos Aires, Corso – cv 11 – Ang. Via Casati;;;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 14 lato dx guardando il passo carraio;Vari;;3;5;1;5;05/06/2012
Buenos Aires, Corso – cv 2 – Ang. Piazza Oberdan;Stazione metropolitana;M1 Porta Venezia;3;5;2;10;11/05/2013
Buenos Aires, Corso – cv 22;;;3;5;2;10;11/05/2013
Buenos Aires, Corso – cv 3 – Ang. Via Castaldi;Stazione metropolitana;M1 Porta Venezia;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 33 - Teatro Puccini;Teatro;Puccini;3;5;2;10;15/10/2013
Buenos Aires, Corso – cv 50;Stazione metropolitana;M1 Lima;3;5;2;10;11/05/2013
Buenos Aires, Corso – cv 54 - Ang. Via Ponchielli;Vari;;3;5;1;5;05/06/2012
Buenos Aires, Corso – cv 55;;;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 60  - Lato sx guardando il passo carraio;Vari;;3;5;2;10;05/06/2012
Buenos Aires, Corso – cv 62;;;3;5;1;5;11/05/2013
Buenos Aires, Corso – cv 7 – Ang. Via Palazzi;Stazione metropolitana;M1 Porta Venezia;3;5;1;5;11/05/2013
Carnia, Via – Scuola dell'Infanzia;Scuola dell'Infanzia;;3;5;1;5;2013
Conte Rosso, Via – angolo Via Rimembranze di Lambrate;Vari;;3;5;2;10;25/05/2016
Corelli, Via – cv 28;CAM;;3;5;2;10;29/02/2016
Crescenzago, Via – cv 108;Scuola Secondaria di Secondo Grado;MOLINARI;3;5;3;15;23/03/2015
Crescenzago, Via – cv 47;Scuola dell'Infanzia;;3;5;2;10;09/11/2016
Eustachi, Via – cv 8;Pubblico esercizio;Enoteca;3;5;1;5;18/05/2015
Ferravilla,  Piazza – cv 2;Scuola dell'infanzia;Montessori;3;5;2;10;20/07/2016
Giustiniano, Viale ;Vari;;3;5;1;5;03/08/2016
Goldoni , Via – cv 68            Rossello;Scuola Primaria;Rossello;3;5;2;10;28/05/2015
Juvara, Via – cv 22;Uffici Pubblici;ARPA – Regione Lombardia;3;5;2;10;12/08/2016
